question,answer
What documents are needed to buy a property?,"You need your CNIC, proof of income, and a passport size photo. For overseas clients, NICOP is accepted."
Do you offer installment plans?,"Yes, most of our properties offer flexible payment plans with down payments starting from 10 percent."
Can overseas Pakistanis buy property remotely?,"Yes, overseas clients can complete the full booking process remotely through video verification and legal power of attorney."
What is the token amount to book a property?,Token amount is usually 5 to 10 percent of the total price and is adjusted into the down payment.
Is the price negotiable?,Prices have some flexibility depending on the property and how long it has been listed. Our agent can share the best possible rate.
What happens if I want to cancel after booking?,"Cancellation policy depends on the developer. Typically a portion of the token is non-refundable, our agent will explain the exact terms."
Do you charge any agent commission?,"Yes, standard agent commission is 1 percent of the sale price for buyers and sellers."
Are these properties verified and legal?,All listed properties are verified for clear title and NOC status before being added to our portfolio.
Can I visit a property before booking?,"Yes, we always recommend a site visit. Our agent can arrange one at your convenience."
Do you help with property transfer paperwork?,"Yes, our team assists with all transfer paperwork and liaises with the relevant housing authority."
What is the difference between a token and down payment?,"Token is a small initial commitment amount, down payment is the larger upfront portion of the total price paid at the time of booking."
Do you have properties near good schools?,"Yes, many of our listings are within a few kilometers of well rated schools. Ask our agent for options near a specific school."
Is possession immediate after full payment?,"Possession timeline depends on construction status. Ready properties offer immediate possession, under construction ones follow the developer's handover schedule."
Can I rent out the property after buying it?,"Yes, there are no restrictions on renting out a property you own, subject to society rules in some gated communities."
Do you provide legal assistance during purchase?,"Yes, we can connect you with panel lawyers who review the sale agreement and title documents."
What is the typical rental deposit amount?,"Rental deposits are typically equal to one to two months of rent, refundable at the end of tenancy subject to condition of the property."
Are utility bills included in rent?,"No, utility bills are billed separately to the tenant unless otherwise stated in the rental agreement."
Can I get a mortgage or bank loan for these properties?,"Yes, several of our listed properties are eligible for bank financing, our agent can guide you on eligible banks."
How is the price per marla calculated?,"It is based on recent transactions in that area, current demand, and developer pricing for new launches."
Do you offer virtual property tours?,"Yes, we can arrange a video call walkthrough for clients who cannot visit in person."
